rank,artist,title,original_artist
1,Pet Shop Boys,Always On My Mind,
2,Johnny Cash,Hurt,Trent Reznor
3,The Stranglers,Walk On By,
4,Jimi Hendrix,All Along The Watchtower,
5,Jeff Buckley,Hallelujah,Leonard Cohen
6,Soft Cell,Tainted Love,
7,Joe Cocker,With A Little Help From My Friends,John Lennon
8,Sinead O'Connor,Nothing Compares 2 U,Prince
9,Muse,Feeling Good,
10,Whitney Houston,I Will Always Love You,
11,Marvin Gaye,I Heard It Through The Grapevine,
12,Adele,Make You Feel My Love,
13,This Mortal Coil,Song To The Siren,
14,The Clash,I Fought The Law,
15,China Drum,Wuthering Heights,
16,Nirvana,The Man Who Sold The World,
17,Aretha Franklin,Respect,Otis Redding
18,Eva Cassidy,Songbird,
19,Leona Lewis,Run,
20,Led Zeppelin,When The Levee Breaks,
21,Righteous Brothers,Unchained Melody,
22,Florence + the Machine,You've Got The Love,
23,Mark Ronson,Valerie,The Zutons
24,Jimi Hendrix,Hey Joe,
25,The Fall,Lost In Music,
26,Gary Jules,Mad World,Tears for Fears
27,Bryan Ferry,A Hard Rain's A-Gonna Fall,
28,The Specials,A Message To You Rudy,
29,Birdy,Skinny Love,
30,Fugees,Killing Me Softly With His Song,Lori Lieberman
31,The Pogues,Dirty Old Town,
32,Elvis Costello & The Attractions,Good Year For The Roses,
33,José González,Heartbeats,
34,The Isley Brothers,Summer Breeze,
35,Thin Lizzy,Rosalie,
36,Talking Heads,Take Me To The River,
37,David Bowie,China Girl,
38,Urge Overkill,"Girl, You'll Be A Woman Soon",
39,Ryan Adams,Wonderwall,
40,Nina Simone,Mr. Bojangles,
41,Hüsker Dü,Eight Miles High,
42,José Feliciano,Light My Fire,
43,"Earth, Wind & Fire",Got To Get You Into My Life,
44,Santana,Oye Como Va,
45,James Blake,Limit To Your Love,
46,Billy Paul,Your Song,
47,Richie Havens,Going Back To My Roots,
48,Labrinth,Express Yourself,
49,Prince Fatty,Shimmy Shimmy Ya,
50,D'Angelo,Cruisin,